what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1446833453281
java.specification.vendor,sysinfo,,,"Oracle Corporation",1446833453281
java.specification.version,sysinfo,,,"1.7",1446833453281
java.vendor,sysinfo,,,"Oracle Corporation",1446833453281
java.version,sysinfo,,,"1.7.0_79",1446833453281
java.vm.info,sysinfo,,,"mixed mode, sharing",1446833453281
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1446833453281
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1446833453281
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1446833453281
java.vm.specification.version,sysinfo,,,"1.7",1446833453281
java.vm.vendor,sysinfo,,,"Oracle Corporation",1446833453281
java.vm.version,sysinfo,,,"24.79-b02",1446833453281
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1446833478609
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1446833497703
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1446833497718
started,bundle,org.eclipse.jst.j2ee.core,1.1.301.v200908181930,"org.eclipse.jst.j2ee.core",1446833498437
started,bundle,org.eclipse.jem,2.0.300.v200901272200,"org.eclipse.jem",1446833498468
started,bundle,org.eclipse.jst.jee,1.0.201.v200909030330,"org.eclipse.jst.jee",1446833498703
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.jst.common.project.facet.core",1446833498796
started,bundle,org.eclipse.jpt.core,2.2.1.v200908270220,"org.eclipse.jpt.core",1446833498859
started,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1446833498875
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1446833498984
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1446833498984
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1446833498984
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v200908101600,"org.eclipse.wst.common.modulecore",1446833499062
