what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1446833412671
java.specification.vendor,sysinfo,,,"Oracle Corporation",1446833412671
java.specification.version,sysinfo,,,"1.7",1446833412671
java.vendor,sysinfo,,,"Oracle Corporation",1446833412671
java.version,sysinfo,,,"1.7.0_79",1446833412671
java.vm.info,sysinfo,,,"mixed mode, sharing",1446833412671
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1446833412671
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1446833412671
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1446833412671
java.vm.specification.version,sysinfo,,,"1.7",1446833412671
java.vm.vendor,sysinfo,,,"Oracle Corporation",1446833412671
java.vm.version,sysinfo,,,"24.79-b02",1446833412671
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1446833421546
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1446833425375
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.edit.text.openLocalFile",1446833425406
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1446833432187
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1446833437468
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1446833437687
