what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1446833499156
started,bundle,org.eclipse.jst.j2ee,1.1.301.v200909030330,"org.eclipse.jst.j2ee",1446833499156
started,bundle,org.eclipse.jst.jee.ui,1.0.201.v200908270924,"org.eclipse.jst.jee.ui",1446833499156
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1446833499203
started,bundle,org.eclipse.jst.j2ee.ui,1.1.301.v200909020100,"org.eclipse.jst.j2ee.ui",1446833499203
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.300.v200903120000,"org.eclipse.jst.j2ee.navigator.ui",1446833499203
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1446833499765
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1446833499921
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1446833501609
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1446833501828
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1446833517812
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1446833517828
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1446833517859
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1446833525234
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1446833525734
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1446833527796
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1446833592125
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1446833595312
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1446833599046
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1446833599328
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1446833600156
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1446833600687
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1446833600765
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1446833601875
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1446833605203
